Res R number,Reservoir name,Reservoir risk designation
RES/R/1128487,Lochan Lub an Arbhair,High
RES/R/1128094,Lochan Na Creige Duibhe,Medium
RES/R/1128192,Lochan Na Lairigie Reservoir,High
RES/R/1128095,Lochan Nam Faoileann,Low
RES/R/1128486,Lochan on Bruar Water,Medium
RES/R/1128096,Lochan Righ,Low
RES/R/1127941,Lochenkit,High
RES/R/1128388,Locher Dam,High
RES/R/1127942,Lochinvar,High
RES/R/1127996,Lochmill,High
RES/R/1128466,Lochnaw,Low
RES/R/1127997,Lochore Meadows,High
RES/R/1128256,Logan,High
RES/R/1127943,Loganhouse Loch,Medium
RES/R/1128123,Loganlea Reservoir,High
RES/R/1127972,Long Loch,High
RES/R/1128488,Longannet Ash Lagoon Level 1,High
RES/R/1128008,Longannet Ash Lagoon Level 2,High
RES/R/1128280,Lossburn,High
RES/R/1128441,Lower Carriston,High
RES/R/1127876,Lower Glen Shira,High
RES/R/1128193,Lower Glendevon,High
RES/R/1128442,Lower Rhynd,High
RES/R/1128098,Loyne Reservoir,High
RES/R/1128389,Luachrach Loch,High
RES/R/1127877,Main Glen Shira,High
RES/R/1127802,Mannofield 1,High
RES/R/1127803,Mannofield 2,High
RES/R/1128222,Megget,High
RES/R/1128099,Meig Reservoir,High
RES/R/1128443,Mellerstain,Low
RES/R/1128390,Middleton,High
RES/R/1127983,Milhall Impounding Reservoir,High
RES/R/1127984,Milhall Reservoir,High
RES/R/1128444,Mill Dam Reservoir (Glack),High
RES/R/1128141,Mill Glen,High
RES/R/1127804,Mill Pond Reservoir,High
RES/R/1128131,Millbuies Loch,High
RES/R/1128142,Millport High,High
RES/R/1128143,Millport Low,High
RES/R/1127958,Milngavie East,Medium
RES/R/1128467,Milngavie North,High
RES/R/1128223,Mire Loch,Low
RES/R/1127878,Mishnish Lochs,High
RES/R/1128097,Monar Reservoir,High
RES/R/1128446,Monikie North Pond,High
RES/R/1128447,Monikie South (Island) Pond,High
RES/R/1128391,Moor Loch,High
RES/R/1128100,Morar Reservoir,Low
RES/R/1128209,Moredun,High
RES/R/1128392,Morton Loch,High
RES/R/1128302,Morton Lower,High
RES/R/1128164,Mucklewater Reservoir,High
RES/R/1127959,Mugdock,High
RES/R/1128281,Muir Park Reservoir,High
RES/R/1128144,Muirhead,High
RES/R/1128101,Mullardoch Reservoir,High
RES/R/1128145,Munnoch,High
RES/R/1128448,Murtle Den Reservoir,High
RES/R/1127879,Nant,High
RES/R/1128469,Njugals Water,High
RES/R/1128224,North Esk,High
RES/R/1128199,North Muirton Flood Storage,High
RES/R/1128282,North Third,High
RES/R/1128393,Ornockenoch Loch,High
RES/R/1128102,Orrin Reservoir,High
RES/R/1127880,Oude,High
RES/R/1128146,Outerwards,High
RES/R/1128394,Parkhill House Reservoir,Low
RES/R/1128303,Pateshill Reservoir,High
RES/R/1128257,Peden,High
RES/R/1127890,Peffermill,High
RES/R/1128240,Penwhapple,High
RES/R/1127944,Penwhirn,High
RES/R/1127998,Peppermill Dam,High
RES/R/1127973,Picketlaw,High
RES/R/1128449,Pilmuir,High
RES/R/1128200,Pitcairnie Loch Reservoir,High
RES/R/1128395,Pitcarmick Loch,High
RES/R/1128396,Pitfour Lake,High
RES/R/1128450,Policy Loch,High
RES/R/1128451,Pond of Drummond,High
RES/R/1128225,Portmore,High
RES/R/1127881,Powder Mill,Medium
RES/R/1128397,Pressmennan Lake,High
RES/R/1128398,Priestdykes,Medium
RES/R/1128399,Pronie Loch,High
RES/R/1128147,Pundeavon,High
RES/R/1128468,Purdomstone,High
RES/R/1128124,Quarrel Burn Reservoir,High
RES/R/1128018,Quoich Reservoir,High
RES/R/1128241,Raith,High
RES/R/1127999,Raith Lake,High
RES/R/1128000,Roscobie,High
RES/R/1128125,Rosebery Reservoir,High
RES/R/1128126,Rosslynlee Reservoir,High
RES/R/1128155,Roughrigg,High
RES/R/1128210,Rowbank,Low
RES/R/1128009,Ruchazie Reservoir,High
RES/R/1127974,Ryatt Linn,High
RES/R/1128234,Sandy Loch,High
RES/R/1128165,Sandy Loch Reservoir,High
RES/R/1128133,Scotsburn Flood Storage Res.,High
RES/R/1128163,Shapinsay Mill Dam Reservoir,High
RES/R/1128452,Sholum Lochs,Medium
RES/R/1127805,Slopefield Reservoir,High
RES/R/1128453,Snypes Dam,High
RES/R/1128201,South Inch Flood Storage Pond,High
RES/R/1128400,Spey Reservoir,High
RES/R/1128258,Springfield,High
RES/R/1128226,St. Mary's,High
RES/R/1128103,Stac Reservoir,High
RES/R/1128211,Stanely (Large),High
RES/R/1128227,Stantling Craig,High
RES/R/1128454,Stare Dam Reservoir,High
RES/R/1128401,Starn Loch,High
RES/R/1128002,Stenhouse,High
RES/R/1128474,Still Loch,High
RES/R/1128228,Stobohope Lake (Stobo),High
RES/R/1127965,Stobshiel,High
RES/R/1128104,Storr Lochs,High
RES/R/1128196,Straloch Loch,High
RES/R/1128156,Strathclyde Loch,High
RES/R/1127882,Strathduie Water,High
RES/R/1128166,Stromness (Yelda) Reservoir,High
RES/R/1128202,Stronuich Reservoir,High
RES/R/1128229,Talla Reservoir,High
RES/R/1128213,Thornley,High
RES/R/1127966,Thorters,High
RES/R/1127945,Tongland,High
RES/R/1127892,Torduff,High
RES/R/1128283,Touch No.2,High
RES/R/1128284,Touch No.3,High
RES/R/1128285,Touch No.4,High
RES/R/1128003,Town Loch,High
RES/R/1128157,Townhead,High
RES/R/1128203,Tummel Bridge Aqueduct Res.,High
RES/R/1128455,Upper Carriston,High
RES/R/1128004,Upper Gillingshill,High
RES/R/1128204,Upper Glendevon Reservoir,High
RES/R/1127811,Upper Lake,High
RES/R/1128458,Upper Rhynd,High
RES/R/1128105,Vaich Reservoir,High
RES/R/1128005,Valleyfield Ash Lagoon 21,High
RES/R/1128006,Valleyfield Ash Lagoon 22,High
RES/R/1140767,Valleyfield Ash Lagoon 5,High
RES/R/1127975,Walton Dam,Low
RES/R/1128230,Watch Water,High
RES/R/1127976,Waulkmill Glen,High
RES/R/1128402,West Corrie,High
RES/R/1128231,West Water,High
RES/R/1128232,Whim Pond,High
RES/R/1128119,Whinhill,High
RES/R/1127977,White Loch,High
RES/R/1127967,Whiteadder,High
RES/R/1128214,Whitemoss Dam,High
RES/R/1128403,Williestruther,High
RES/R/1127946,Winterhope,High
RES/R/1128404,Woodburn,High
RES/R/1127812,Woodside Reservoir Turriff,High
